"GO.ID","Term","Annotated","Significant","Expected","classicFisher","Enrichment"
"GO:0009653","anatomical structure morphogenesis",2376,1,3.7,"1.0000",-1.23
"GO:0001932","regulation of protein phosphorylation",930,2,1.45,"1.0000",0.29
"GO:0001934","positive regulation of protein phosphory...",608,2,0.95,"1.0000",0.62
"GO:0006950","response to stress",2813,5,4.39,"1.0000",0.15
"GO:0002440","production of molecular mediator of immu...",153,1,0.24,"1.0000",0.69
"GO:0006952","defense response",986,3,1.54,"1.0000",0.66
"GO:0031399","regulation of protein modification proce...",1352,3,2.11,"1.0000",0.36
"GO:0060249","anatomical structure homeostasis",251,1,0.39,"1.0000",0.52
"GO:0002443","leukocyte mediated immunity",254,1,0.4,"1.0000",0.51
"GO:0006954","inflammatory response",489,1,0.76,"1.0000",0.18
"GO:0048534","hematopoietic or lymphoid organ developm...",753,1,1.17,"1.0000",-0.12
"GO:0006955","immune response",914,4,1.42,"1.0000",1.05
"GO:0009890","negative regulation of biosynthetic proc...",1345,1,2.1,"1.0000",-0.63
"GO:0002562","somatic diversification of immune recept...",62,1,0.1,"1.0000",0.86
"GO:0009891","positive regulation of biosynthetic proc...",1623,1,2.53,"1.0000",-0.82
"GO:0009892","negative regulation of metabolic process",2466,1,3.84,"1.0000",-1.28
"GO:0019438","aromatic compound biosynthetic process",3088,2,4.81,"1.0000",-0.95
"GO:0009893","positive regulation of metabolic process",3068,5,4.78,"1.0000",0.05
"GO:0010941","regulation of cell death",1466,2,2.29,"1.0000",-0.13
"GO:0002449","lymphocyte mediated immunity",183,1,0.29,"1.0000",0.63
"GO:0010942","positive regulation of cell death",595,2,0.93,"1.0000",0.64
"GO:0071704","organic substance metabolic process",8187,9,12.76,"1.0000",-0.46
"GO:0046578","regulation of Ras protein signal transdu...",180,1,0.28,"1.0000",0.64
"GO:0051347","positive regulation of transferase activ...",459,2,0.72,"1.0000",0.8
"GO:0007219","Notch signaling pathway",163,1,0.25,"1.0000",0.68
"GO:0018130","heterocycle biosynthetic process",3082,2,4.8,"1.0000",-0.95
"GO:0000003","reproduction",1097,1,1.71,"1.0000",-0.44
"GO:0022898","regulation of transmembrane transporter ...",252,1,0.39,"1.0000",0.52
"GO:0006986","response to unfolded protein",111,1,0.17,"1.0000",0.77
"GO:0045580","regulation of T cell differentiation",118,1,0.18,"1.0000",0.76
"GO:0034101","erythrocyte homeostasis",134,1,0.21,"1.0000",0.72
"GO:0045581","negative regulation of T cell differenti...",40,1,0.06,"1.0000",0.92
"GO:0034620","cellular response to unfolded protein",84,1,0.13,"1.0000",0.82
"GO:0043367","CD4-positive, alpha-beta T cell differen...",58,1,0.09,"1.0000",0.88
"GO:0008593","regulation of Notch signaling pathway",85,1,0.13,"1.0000",0.82
"GO:0051336","regulation of hydrolase activity",734,1,1.14,"1.0000",-0.1
"GO:0051338","regulation of transferase activity",732,2,1.14,"1.0000",0.49
"GO:0032663","regulation of interleukin-2 production",44,1,0.07,"1.0000",0.9
"GO:0050900","leukocyte migration",258,1,0.4,"1.0000",0.51
"GO:0009100","glycoprotein metabolic process",292,2,0.46,"1.0000",1.04
"GO:0009101","glycoprotein biosynthetic process",242,2,0.38,"1.0000",1.12
"GO:0090398","cellular senescence",60,1,0.09,"1.0000",0.88
"GO:0006464","cellular protein modification process",2934,4,4.57,"1.0000",-0.16
"GO:0006468","protein phosphorylation",1328,2,2.07,"1.0000",-0.03
"GO:0033674","positive regulation of kinase activity",371,2,0.58,"1.0000",0.93
"GO:0098916","anterograde trans-synaptic signaling",677,1,1.06,"1.0000",-0.04
"GO:0009628","response to abiotic stimulus",857,1,1.34,"1.0000",-0.23
"GO:0006807","nitrogen compound metabolic process",7394,7,11.53,"1.0000",-0.65
"GO:0045066","regulatory T cell differentiation",27,1,0.04,"1.0000",0.94
"GO:0042110","T cell activation",362,1,0.56,"1.0000",0.36
"GO:0006928","movement of cell or subcellular componen...",1815,3,2.83,"1.0000",0.06
"GO:0055117","regulation of cardiac muscle contraction",62,1,0.1,"1.0000",0.86
"GO:0034641","cellular nitrogen compound metabolic pro...",5049,2,7.87,"1.0000",-1.56
"GO:0042113","B cell activation",206,1,0.32,"1.0000",0.6
"GO:0050790","regulation of catalytic activity",1465,3,2.28,"1.0000",0.29
"GO:0001558","regulation of cell growth",404,1,0.63,"1.0000",0.3
"GO:0034645","cellular macromolecule biosynthetic proc...",968,2,1.51,"1.0000",0.26
"GO:0050793","regulation of developmental process",2154,3,3.36,"1.0000",-0.12
"GO:0009617","response to bacterium",377,1,0.59,"1.0000",0.33
"GO:0050794","regulation of cellular process",8165,10,12.73,"1.0000",-0.32
"GO:0035023","regulation of Rho protein signal transdu...",73,1,0.11,"1.0000",0.85
"GO:0002520","immune system development",800,1,1.25,"1.0000",-0.17
"GO:0043370","regulation of CD4-positive, alpha-beta T...",36,1,0.06,"1.0000",0.92
"GO:0002521","leukocyte differentiation",440,1,0.69,"1.0000",0.24
"GO:0006915","apoptotic process",1599,3,2.49,"1.0000",0.2
"GO:0030217","T cell differentiation",212,1,0.33,"1.0000",0.59
"GO:0030218","erythrocyte differentiation",123,1,0.19,"1.0000",0.75
"GO:0010562","positive regulation of phosphorus metabo...",754,2,1.18,"1.0000",0.46
"GO:0005975","carbohydrate metabolic process",474,1,0.74,"1.0000",0.2
"GO:0006486","protein glycosylation",172,1,0.27,"1.0000",0.66
"GO:0048731","system development",3618,4,5.64,"1.0000",-0.41
"GO:0006941","striated muscle contraction",139,1,0.22,"1.0000",0.71
"GO:0006942","regulation of striated muscle contractio...",75,1,0.12,"1.0000",0.84
"GO:0065007","biological regulation",8882,11,13.85,"1.0000",-0.31
"GO:0065008","regulation of biological quality",3155,4,4.92,"1.0000",-0.24
"GO:0071310","cellular response to organic substance",1808,3,2.82,"1.0000",0.07
"GO:0065009","regulation of molecular function",2105,5,3.28,"1.0000",0.49
"GO:0002764","immune response-regulating signaling pat...",255,1,0.4,"1.0000",0.51
"GO:0002768","immune response-regulating cell surface ...",131,1,0.2,"1.0000",0.74
"GO:0010556","regulation of macromolecule biosynthetic...",3049,3,4.75,"1.0000",-0.52
"GO:0032101","regulation of response to external stimu...",695,1,1.08,"1.0000",-0.06
"GO:0071621","granulocyte chemotaxis",76,1,0.12,"1.0000",0.84
"GO:0010557","positive regulation of macromolecule bio...",1501,1,2.34,"1.0000",-0.74
"GO:0010558","negative regulation of macromolecule bio...",1256,1,1.96,"1.0000",-0.57
"GO:0007417","central nervous system development",854,1,1.33,"1.0000",-0.22
"GO:0006476","protein deacetylation",118,1,0.18,"1.0000",0.76
"GO:0009889","regulation of biosynthetic process",3243,3,5.06,"1.0000",-0.6
"GO:0032623","interleukin-2 production",49,1,0.08,"1.0000",0.89
"GO:0045190","isotype switching",43,1,0.07,"1.0000",0.9
"GO:0051604","protein maturation",250,1,0.39,"1.0000",0.52
"GO:0006935","chemotaxis",476,1,0.74,"1.0000",0.2
"GO:0035710","CD4-positive, alpha-beta T cell activati...",73,1,0.11,"1.0000",0.85
"GO:0006937","regulation of muscle contraction",140,1,0.22,"1.0000",0.71
"GO:1904062","regulation of cation transmembrane trans...",318,1,0.5,"1.0000",0.42
"GO:0002757","immune response-activating signal transd...",129,1,0.2,"1.0000",0.74
"GO:0048699","generation of neurons",1487,2,2.32,"1.0000",-0.15
"GO:0045785","positive regulation of cell adhesion",362,1,0.56,"1.0000",0.36
"GO:0051250","negative regulation of lymphocyte activa...",113,1,0.18,"1.0000",0.76
"GO:0051251","positive regulation of lymphocyte activa...",206,1,0.32,"1.0000",0.6
"GO:0051252","regulation of RNA metabolic process",2886,2,4.5,"1.0000",-0.87
"GO:0019538","protein metabolic process",4250,7,6.63,"1.0000",0.07
"GO:0003012","muscle system process",351,2,0.55,"1.0000",0.95
"GO:0051253","negative regulation of RNA metabolic pro...",1157,1,1.8,"1.0000",-0.49
"GO:0003013","circulatory system process",451,1,0.7,"1.0000",0.23
"GO:0031323","regulation of cellular metabolic process",4712,5,7.35,"1.0000",-0.48
"GO:0051254","positive regulation of RNA metabolic pro...",1433,1,2.23,"1.0000",-0.69
"GO:0031324","negative regulation of cellular metaboli...",2076,1,3.24,"1.0000",-1.08
"GO:0003015","heart process",209,1,0.33,"1.0000",0.59
"GO:0031325","positive regulation of cellular metaboli...",2723,4,4.24,"1.0000",-0.07
"GO:0071867","response to monoamine",64,1,0.1,"1.0000",0.86
"GO:0051960","regulation of nervous system development",519,1,0.81,"1.0000",0.14
"GO:0031326","regulation of cellular biosynthetic proc...",3184,3,4.96,"1.0000",-0.58
"GO:0071868","cellular response to monoamine stimulus",63,1,0.1,"1.0000",0.86
"GO:0031327","negative regulation of cellular biosynth...",1303,1,2.03,"1.0000",-0.6
"GO:0071869","response to catecholamine",64,1,0.1,"1.0000",0.86
"GO:0031328","positive regulation of cellular biosynth...",1586,1,2.47,"1.0000",-0.79
"GO:0030595","leukocyte chemotaxis",149,1,0.23,"1.0000",0.7
"GO:0042325","regulation of phosphorylation",1065,2,1.66,"1.0000",0.17
"GO:0042327","positive regulation of phosphorylation",685,2,1.07,"1.0000",0.54
"GO:0033993","response to lipid",532,1,0.83,"1.0000",0.13
"GO:0019724","B cell mediated immunity",88,1,0.14,"1.0000",0.81
"GO:0048709","oligodendrocyte differentiation",115,1,0.18,"1.0000",0.76
"GO:0019725","cellular homeostasis",736,2,1.15,"1.0000",0.48
"GO:0032649","regulation of interferon-gamma productio...",62,1,0.1,"1.0000",0.86
"GO:0042100","B cell proliferation",60,1,0.09,"1.0000",0.88
"GO:0086003","cardiac muscle cell contraction",64,1,0.1,"1.0000",0.86
"GO:0051270","regulation of cellular component movemen...",938,2,1.46,"1.0000",0.29
"GO:0009266","response to temperature stimulus",145,1,0.23,"1.0000",0.7
"GO:0032291","axon ensheathment in central nervous sys...",30,1,0.05,"1.0000",0.93
"GO:0009605","response to external stimulus",1807,4,2.82,"1.0000",0.39
"GO:0009607","response to biotic stimulus",859,3,1.34,"1.0000",0.77
"GO:0031347","regulation of defense response",434,1,0.68,"1.0000",0.25
"GO:1903522","regulation of blood circulation",221,1,0.34,"1.0000",0.58
"GO:0050789","regulation of biological process",8487,10,13.23,"1.0000",-0.37
"GO:1901564","organonitrogen compound metabolic proces...",4924,7,7.68,"1.0000",-0.12
"GO:1901566","organonitrogen compound biosynthetic pro...",1356,2,2.11,"1.0000",-0.05
"GO:0071875","adrenergic receptor signaling pathway",28,1,0.04,"1.0000",0.94
"GO:0009966","regulation of signal transduction",2415,3,3.76,"1.0000",-0.25
"GO:0031641","regulation of myelination",57,1,0.09,"1.0000",0.88
"GO:0090311","regulation of protein deacetylation",60,1,0.09,"1.0000",0.88
"GO:0009967","positive regulation of signal transducti...",1256,1,1.96,"1.0000",-0.57
"GO:0070588","calcium ion transmembrane transport",231,1,0.36,"1.0000",0.56
"GO:0090312","positive regulation of protein deacetyla...",33,1,0.05,"1.0000",0.93
"GO:0009968","negative regulation of signal transducti...",1090,2,1.7,"1.0000",0.15
"GO:0050776","regulation of immune response",546,2,0.85,"1.0000",0.7
"GO:0050777","negative regulation of immune response",120,1,0.19,"1.0000",0.75
"GO:0031644","regulation of nervous system process",173,1,0.27,"1.0000",0.66
"GO:0044260","cellular macromolecule metabolic process",4635,5,7.23,"1.0000",-0.46
"GO:0002712","regulation of B cell mediated immunity",47,1,0.07,"1.0000",0.9
"GO:0050778","positive regulation of immune response",330,1,0.51,"1.0000",0.41
"GO:0032879","regulation of localization",2444,3,3.81,"1.0000",-0.27
"GO:0031646","positive regulation of nervous system pr...",51,1,0.08,"1.0000",0.89
"GO:0042330","taxis",479,1,0.75,"1.0000",0.19
"GO:0001775","cell activation",739,1,1.15,"1.0000",-0.1
"GO:0001776","leukocyte homeostasis",87,1,0.14,"1.0000",0.81
"GO:0044267","cellular protein metabolic process",3884,4,6.05,"1.0000",-0.5
"GO:0006793","phosphorus metabolic process",2233,3,3.48,"1.0000",-0.16
"GO:0030097","hemopoiesis",721,1,1.12,"1.0000",-0.08
"GO:0030098","lymphocyte differentiation",297,1,0.46,"1.0000",0.45
"GO:0080090","regulation of primary metabolic process",4582,5,7.14,"1.0000",-0.44
"GO:0006796","phosphate-containing compound metabolic ...",2217,3,3.46,"1.0000",-0.16
"GO:0030099","myeloid cell differentiation",336,1,0.52,"1.0000",0.4
"GO:0060548","negative regulation of cell death",936,1,1.46,"1.0000",-0.3
"GO:0051924","regulation of calcium ion transport",225,1,0.35,"1.0000",0.57
"GO:0034220","ion transmembrane transport",749,1,1.17,"1.0000",-0.12
"GO:0051240","positive regulation of multicellular org...",1270,3,1.98,"1.0000",0.42
"GO:0051246","regulation of protein metabolic process",2134,4,3.33,"1.0000",0.21
"GO:0003006","developmental process involved in reprod...",763,1,1.19,"1.0000",-0.13
"GO:0009987","cellular process",12020,16,18.74,"1.0000",-0.22
"GO:0051247","positive regulation of protein metabolic...",1275,3,1.99,"1.0000",0.42
"GO:0032268","regulation of cellular protein metabolic...",1982,3,3.09,"1.0000",-0.03
"GO:0003008","system process",1427,5,2.22,"1.0000",0.9
"GO:0034976","response to endoplasmic reticulum stress",236,1,0.37,"1.0000",0.55
"GO:0051249","regulation of lymphocyte activation",325,1,0.51,"1.0000",0.41
"GO:0044281","small molecule metabolic process",1292,1,2.01,"1.0000",-0.59
"GO:0032609","interferon-gamma production",68,1,0.11,"1.0000",0.85
"GO:0071840","cellular component organization or bioge...",5364,3,8.36,"1.0000",-1.23
"GO:1901576","organic substance biosynthetic process",4414,4,6.88,"1.0000",-0.66
"GO:0051234","establishment of localization",3708,2,5.78,"1.0000",-1.18
"GO:0043269","regulation of ion transport",614,1,0.96,"1.0000",0.03
"GO:0051239","regulation of multicellular organismal p...",2270,4,3.54,"1.0000",0.14
"GO:0044271","cellular nitrogen compound biosynthetic ...",3663,2,5.71,"1.0000",-1.16
"GO:0008015","blood circulation",421,1,0.66,"1.0000",0.27
"GO:0008016","regulation of heart contraction",167,1,0.26,"1.0000",0.67
"GO:0070085","glycosylation",192,1,0.3,"1.0000",0.62
"GO:0002694","regulation of leukocyte activation",405,1,0.63,"1.0000",0.3
"GO:0098542","defense response to other organism",593,2,0.92,"1.0000",0.64
"GO:0002695","negative regulation of leukocyte activat...",136,1,0.21,"1.0000",0.72
"GO:0071495","cellular response to endogenous stimulus",1011,1,1.58,"1.0000",-0.37
"GO:0002696","positive regulation of leukocyte activat...",243,1,0.38,"1.0000",0.54
"GO:0002697","regulation of immune effector process",252,1,0.39,"1.0000",0.52
"GO:0002698","negative regulation of immune effector p...",79,1,0.12,"1.0000",0.84
"GO:0032496","response to lipopolysaccharide",191,1,0.3,"1.0000",0.62
"GO:1903018","regulation of glycoprotein metabolic pro...",40,1,0.06,"1.0000",0.92
"GO:0097529","myeloid leukocyte migration",150,1,0.23,"1.0000",0.7
"GO:1902531","regulation of intracellular signal trans...",1367,2,2.13,"1.0000",-0.06
"GO:1902532","negative regulation of intracellular sig...",475,1,0.74,"1.0000",0.2
"GO:0046651","lymphocyte proliferation",207,1,0.32,"1.0000",0.6
"GO:0043491","protein kinase B signaling",167,1,0.26,"1.0000",0.67
"GO:1902533","positive regulation of intracellular sig...",791,1,1.23,"1.0000",-0.16
"GO:0048869","cellular developmental process",3430,3,5.35,"1.0000",-0.67
"GO:0032270","positive regulation of cellular protein ...",1197,3,1.87,"1.0000",0.48
"GO:0060047","heart contraction",198,1,0.31,"1.0000",0.61
"GO:0060048","cardiac muscle contraction",110,1,0.17,"1.0000",0.77
"GO:0010033","response to organic substance",2229,3,3.47,"1.0000",-0.16
"GO:0002700","regulation of production of molecular me...",111,1,0.17,"1.0000",0.77
"GO:0007010","cytoskeleton organization",1271,2,1.98,"1.0000",0.01
"GO:2001141","regulation of RNA biosynthetic process",2635,2,4.11,"1.0000",-0.77
"GO:0090304","nucleic acid metabolic process",4044,2,6.3,"1.0000",-1.28
"GO:0048856","anatomical structure development",4719,4,7.36,"1.0000",-0.74
"GO:0002366","leukocyte activation involved in immune ...",200,1,0.31,"1.0000",0.61
"GO:0002703","regulation of leukocyte mediated immunit...",170,1,0.27,"1.0000",0.66
"GO:0002367","cytokine production involved in immune r...",71,1,0.11,"1.0000",0.85
"GO:0098771","inorganic ion homeostasis",594,1,0.93,"1.0000",0.05
"GO:1903169","regulation of calcium ion transmembrane ...",133,1,0.21,"1.0000",0.72
"GO:0008152","metabolic process",8532,9,13.3,"1.0000",-0.52
"GO:0002704","negative regulation of leukocyte mediate...",44,1,0.07,"1.0000",0.9
"GO:1903506","regulation of nucleic acid-templated tra...",2628,2,4.1,"1.0000",-0.77
"GO:1903507","negative regulation of nucleic acid-temp...",1057,1,1.65,"1.0000",-0.41
"GO:0002706","regulation of lymphocyte mediated immuni...",117,1,0.18,"1.0000",0.76
"GO:1903508","positive regulation of nucleic acid-temp...",1300,1,2.03,"1.0000",-0.6
"GO:0045664","regulation of neuron differentiation",206,2,0.32,"1.0000",1.18
"GO:1903037","regulation of leukocyte cell-cell adhesi...",224,1,0.35,"1.0000",0.57
"GO:1903038","negative regulation of leukocyte cell-ce...",97,1,0.15,"1.0000",0.8
"GO:0032970","regulation of actin filament-based proce...",366,1,0.57,"1.0000",0.35
"GO:1903039","positive regulation of leukocyte cell-ce...",155,1,0.24,"1.0000",0.69
